,character,gender,power_score,agency_score,dom_score
0,0,he/him/his,24,140,50.63599999999998
1,5864,she/her,11,21,3.8079999999999985
2,499,he/him/his,11,19,5.858
3,605,he/him/his,3,18,5.936000000000001
4,1482,he/him/his,7,11,3.7079999999999997
5,1538,they/them/their,5,5,5.312000000000001
6,519,he/him/his,11,18,4.91
7,1835,he/him/his,-3,3,3.74
8,1792,she/her,1,15,6.577999999999999
9,941,he/him/his,0,5,4.662
10,1161,he/him/his,5,8,5.650000000000001
11,776,he/him/his,16,15,1.496
12,553,he/him/his,5,11,8.416
13,955,she/her,1,-5,-0.8739999999999999
14,913,she/her,2,12,0.9740000000000018
15,1694,he/him/his,-1,4,0.28000000000000014
16,2342,she/her,4,9,-0.9360000000000003
17,1385,he/him/his,1,4,6.505999999999999
18,525,she/her,4,6,3.43
19,527,she/her,2,2,-3.0620000000000007
20,6572,he/him/his,1,2,1.1500000000000001
21,5953,she/her,6,5,3.4800000000000004
22,2407,he/him/his,0,4,1.062
23,634,he/him/his,6,8,0.6940000000000001
24,3293,she/her,2,2,3.7859999999999996
25,958,he/him/his,5,-1,-2.0020000000000002
26,965,he/him/his,6,4,5.599999999999999
27,974,he/him/his,0,-1,2.484
28,1775,he/him/his,1,9,3.6080000000000005
29,1852,he/him/his,5,5,1.8840000000000001
30,4943,he/him/his,4,0,-0.3419999999999999
31,1327,she/her,9,-1,2.75
32,1321,he/him/his,2,3,5.572000000000001
33,908,he/him/his,0,6,5.529999999999999
34,988,she/her,7,10,-0.5560000000000002
35,1139,she/her,0,3,-0.6099999999999999
36,927,she/her,0,5,0.514
37,537,she/her,4,10,-0.10599999999999982
38,2234,he/him/his,0,4,3.698
39,686,she/her,0,13,0.050000000000000044
40,523,she/her,5,8,2.2640000000000002
41,5857,he/him/his,3,0,2.576000000000001
42,924,he/him/his,6,3,2.6660000000000004
43,1347,he/him/his,0,5,0.8360000000000003
44,2082,he/him/his,1,-4,1.1419999999999995
45,514,he/him/his,4,4,0.5559999999999999
46,1773,he/him/his,2,2,2.1119999999999997
47,5836,they/them/their,4,5,1.7820000000000003
48,5872,he/him/his,-2,0,1.17
49,1783,she/her,-3,2,1.4939999999999998
50,732,she/her,1,4,-0.43800000000000006
51,5788,they/them/their,-2,1,-0.556
52,546,he/him/his,4,4,-1.24
53,4411,he/him/his,-2,3,0.558
54,1271,he/him/his,4,9,0.634
55,1489,they/them/their,4,6,0.472
56,598,he/him/his,-2,0,1.06
57,1006,he/him/his,1,2,-0.642
58,1162,he/him/his,4,5,1.6500000000000004
59,1328,he/him/his,5,6,-2.356
60,531,she/her,0,0,-0.0060000000000001025
61,569,she/her,6,6,1.198
62,3342,she/her,7,5,0.08399999999999999
63,3593,she/her,2,0,4.318
64,1337,she/her,-2,1,0.614
65,8937,she/her,3,-4,0.9219999999999999
66,540,she/her,4,1,-2.168
67,5875,he/him/his,-3,3,-2.2940000000000005
68,1106,she/her,1,1,1.3460000000000003
69,8525,she/her,1,1,0.542
70,1014,he/him/his,0,2,0.384
71,4659,she/her,3,1,1.2800000000000002
72,1426,he/him/his,6,6,0.846
73,1633,she/her,2,3,-0.05600000000000004
74,682,they/them/their,4,4,0.6940000000000001
75,819,he/him/his,-2,1,0.2079999999999999
76,879,he/him/his,1,2,-0.23999999999999996
77,1145,he/him/his,0,4,2.314
78,1421,she/her,-1,1,1.028
79,5944,she/her,-1,0,-1.266
80,791,he/him/his,2,5,-0.49800000000000005
81,1060,she/her,-1,3,-0.3979999999999999
82,6745,she/her,3,3,-1.2320000000000002
83,910,she/her,4,3,2.824
84,4296,she/her,-1,4,0.752
85,1255,he/him/his,-2,1,0.3619999999999999
86,5901,he/him/his,1,0,2.274
87,610,she/her,0,1,1.808
88,497,he/him/his,5,9,1.846
89,2019,he/him/his,2,3,1.4700000000000002
90,5897,he/him/his,-1,0,-0.96
91,5945,they/them/their,2,3,0.806
92,677,she/her,-1,1,0.9060000000000001
93,917,she/her,-1,0,2.6639999999999997
94,1027,he/him/his,0,3,0.18399999999999997
95,7812,he/him/his,2,3,-1.5059999999999998
96,689,she/her,0,2,0.18800000000000003
97,1119,he/him/his,1,2,0.82
98,1461,he/him/his,2,5,0.0
99,509,he/him/his,8,7,1.586
100,545,he/him/his,6,7,-1.2880000000000003
101,1842,he/him/his,1,2,0.34599999999999975
102,6055,she/her,0,-3,2.7680000000000002
103,895,she/her,3,2,0.8840000000000001
104,972,he/him/his,0,0,0.726
105,3484,she/her,0,-1,0.8359999999999999
106,5390,she/her,1,2,1.1999999999999997
107,2532,they/them/their,1,1,0.8240000000000001
108,3761,she/her,0,0,1.242
109,8996,he/him/his,0,0,1.654
110,1581,he/him/his,3,8,-0.25200000000000006
111,512,she/her,3,5,-0.8980000000000001
112,1967,they/them/their,0,8,-0.8300000000000001
113,692,he/him/his,-1,6,0.602
114,765,she/her,2,2,-0.88
115,536,he/him/his,-1,-3,0.18200000000000008
116,542,he/him/his,2,-1,-0.7560000000000001
117,2079,he/him/his,0,3,1.0139999999999998
118,2165,she/her,1,1,1.082
119,6310,she/her,4,5,0.8440000000000001
120,7744,she/her,1,1,0.2859999999999999
121,1808,he/him/his,2,-2,2.8099999999999996
122,3056,they/them/their,1,5,0.086
123,973,he/him/his,-1,-2,1.226
124,4332,she/her,-7,-4,2.222
125,2315,he/him/his,-4,1,-0.028000000000000025
126,740,she/her,2,3,0.2900000000000002
127,3161,he/him/his,1,4,0.776
128,957,he/him/his,0,0,1.472
129,508,he/him/his,-2,0,0.942
130,511,he/him/his,0,0,0.594
131,1856,he/him/his,0,-1,-0.4780000000000003
132,6107,he/him/his,0,-1,-1.05
133,3410,they/them/their,3,2,-0.504
134,1057,he/him/his,2,4,0.12599999999999983
135,3843,he/him/his,2,1,0.434
136,1084,she/her,1,1,-0.8380000000000002
137,1537,he/him/his,5,6,-0.9159999999999999
138,604,she/her,0,1,0.42
139,737,she/her,2,1,-0.43400000000000005
140,2965,she/her,3,1,0.8860000000000001
141,7703,she/her,-3,2,1.4020000000000001
142,1181,he/him/his,1,-1,4.32
143,8276,he/him/his,-2,0,0.674
144,1992,she/her,1,2,-0.5820000000000001
145,624,she/her,1,2,2.014
146,859,she/her,0,0,-0.9239999999999999
147,892,she/her,1,0,1.652
148,3158,he/him/his,1,2,0.974
149,6993,he/him/his,3,-1,0.8220000000000001
150,928,he/him/his,0,0,-1.584
151,3722,they/them/their,2,3,-0.768
152,3915,she/her,0,2,-1.6079999999999999
153,4428,he/him/his,1,1,0.908
154,1353,she/her,2,4,-0.166
155,1665,they/them/their,1,0,0.08000000000000007
156,1687,she/her,1,0,-0.15599999999999997
157,549,he/him/his,1,1,0.64
158,2098,she/her,0,1,0.5920000000000001
159,6129,she/her,0,-2,1.5100000000000002
160,794,he/him/his,0,0,0.3739999999999999
161,1183,she/her,2,2,-0.962
162,7271,he/him/his,0,0,0.7140000000000001
163,1109,she/her,3,3,0.8640000000000001
164,1120,she/her,-1,1,-0.546
165,1350,he/him/his,1,1,0.6739999999999999
166,1994,she/her,-1,0,0.0
167,6106,he/him/his,0,1,-1.1600000000000001
168,635,he/him/his,0,1,0.49
169,2222,he/him/his,2,-2,0.704
170,6346,they/them/their,1,-1,-0.226
171,3301,he/him/his,1,-1,2.984
172,7415,they/them/their,0,1,-0.32199999999999995
173,1111,she/her,1,0,0.9719999999999999
174,7883,he/him/his,-3,-4,1.204
175,4706,he/him/his,3,2,1.348
176,1387,she/her,-1,3,0.03599999999999992
177,513,she/her,0,2,0.32
178,1928,she/her,2,3,0.218
179,6039,he/him/his,0,0,1.3479999999999999
180,2105,she/her,-1,0,-1.754
181,623,he/him/his,0,0,-0.376
182,680,she/her,0,-1,0.10599999999999998
183,2366,he/him/his,0,2,1.532
184,731,he/him/his,1,2,-0.486
185,2696,she/her,1,0,0.33
186,6636,he/him/his,-3,1,-0.12800000000000003
187,857,she/her,0,0,-0.486
188,168,she/her,5,3,1.366
189,3113,they/them/their,1,0,0.354
190,4006,she/her,3,3,-0.20600000000000002
191,1135,he/him/his,1,3,1.152
192,1160,he/him/his,0,2,-0.648
193,1182,he/him/his,1,1,-0.3640000000000001
194,1237,she/her,2,4,-0.5900000000000001
195,5611,they/them/their,0,1,-0.518
196,507,he/him/his,1,2,1.308
197,5829,they/them/their,1,1,-0.15400000000000014
198,1807,she/her,-1,1,0.7639999999999999
199,606,he/him/his,0,1,0.47
200,2300,he/him/his,2,4,1.03
201,2325,she/her,3,5,1.416
202,2598,she/her,2,2,2.556
203,2896,he/him/his,0,-1,-0.09800000000000003
204,4119,they/them/their,0,0,-0.46
205,4754,they/them/their,4,4,0.734
206,1330,he/him/his,0,-1,1.1360000000000001
207,5997,he/him/his,-1,0,0.8899999999999999
208,568,he/him/his,0,0,0.368
209,2330,she/her,0,1,0.22000000000000003
210,683,he/him/his,4,3,-0.05999999999999996
211,2630,he/him/his,0,2,0.12999999999999998
212,792,he/him/his,1,1,0.9740000000000001
213,817,he/him/his,0,1,0.684
214,841,she/her,0,0,1.316
215,850,she/her,1,1,-0.486
216,874,she/her,2,2,-0.736
217,4921,he/him/his,5,5,-0.374
218,6068,she/her,0,0,0.328
219,638,he/him/his,0,0,1.614
220,6159,she/her,2,1,0.12399999999999997
221,2361,she/her,-2,-1,1.076
222,799,he/him/his,-1,0,-0.30200000000000005
223,888,he/him/his,1,0,0.504
224,912,he/him/his,0,0,1.5859999999999999
225,3469,he/him/his,-2,-2,-0.244
226,979,she/her,0,0,-0.238
227,7968,he/him/his,0,0,0.456
228,1173,he/him/his,1,4,-0.586
229,1221,he/him/his,1,1,-0.814
230,1314,she/her,3,3,-0.208
231,526,he/him/his,0,4,-0.06999999999999999
232,550,he/him/his,3,3,0.19800000000000006
233,551,he/him/his,0,0,-0.01799999999999996
234,600,he/him/his,0,0,-0.258
235,1986,she/her,0,0,-1.694
236,2244,they/them/their,0,1,-0.14400000000000002
237,781,she/her,0,0,-0.306
238,877,she/her,1,2,1.1179999999999999
239,906,he/him/his,-1,1,-0.22200000000000006
240,1005,he/him/his,0,1,1.766
241,1011,he/him/his,-1,0,0.718
242,1048,he/him/his,-1,-1,-0.6900000000000001
243,4024,she/her,1,0,-0.09600000000000002
244,4029,he/him/his,1,-1,-0.03999999999999998
245,4358,they/them/their,1,1,0.422
246,7899,they/them/their,1,2,0.54
247,1198,she/her,-1,-1,0.8759999999999999
248,1270,he/him/his,2,2,0.10200000000000001
249,1367,he/him/his,0,0,-1.322
250,8936,he/him/his,1,3,-0.11400000000000003
251,517,she/her,1,0,0.328
252,1883,he/him/his,-1,1,-0.344
253,2224,they/them/their,0,2,-0.9019999999999999
254,2287,she/her,2,0,0.642
255,2329,she/her,0,-1,-0.852
256,678,he/him/his,0,2,-0.904
257,2439,he/him/his,-4,0,1.2919999999999998
258,717,he/him/his,-1,0,0.648
259,2624,she/her,4,3,0.32999999999999996
260,2629,she/her,1,3,0.208
261,6372,they/them/their,0,0,0.0
262,898,he/him/his,0,-1,-0.722
263,3314,they/them/their,0,0,-0.476
264,1029,he/him/his,1,0,0.496
265,1074,he/him/his,-1,0,-0.09799999999999995
266,1077,he/him/his,2,2,-0.7240000000000001
267,4204,she/her,1,1,0.08200000000000005
268,4543,he/him/his,1,1,1.666
269,1555,he/him/his,2,2,-0.518
270,1607,he/him/his,1,2,-0.398
271,1688,she/her,-2,2,0.276
272,5923,she/her,0,-1,0.504
273,555,she/her,1,1,0.112
274,1924,she/her,2,-1,-0.264
275,2335,he/him/his,0,0,-0.28800000000000003
276,685,he/him/his,3,0,0.0
277,694,he/him/his,3,1,0.088
278,744,she/her,0,0,-0.69
279,6413,they/them/their,0,3,-0.098
280,777,she/her,0,0,0.762
281,796,he/him/his,0,-1,-0.7379999999999999
282,816,he/him/his,0,-4,0.6439999999999999
283,6772,he/him/his,0,2,0.372
284,901,he/him/his,0,0,-0.08200000000000002
285,923,they/them/their,1,1,1.428
286,3539,she/her,0,0,-0.32400000000000007
287,1032,she/her,-1,0,-1.0819999999999999
288,3681,they/them/their,5,6,-0.034
289,7504,they/them/their,1,1,0.016
290,1073,they/them/their,3,2,1.8359999999999999
291,1143,he/him/his,-2,0,0.236
292,1152,he/him/his,-1,0,1.092
293,4646,she/her,-2,-4,-0.47000000000000003
294,5350,they/them/their,6,7,0.182
295,1392,he/him/his,1,1,0.0
296,1558,they/them/their,3,1,0.0
297,1704,she/her,1,2,0.288
298,1929,she/her,2,2,1.0639999999999998
299,2277,they/them/their,0,-1,0.5
300,2312,they/them/their,4,5,0.7719999999999999
301,2424,he/him/his,0,0,0.8540000000000001
302,2450,he/him/his,-2,-1,-0.16800000000000004
303,728,she/her,2,3,-0.86
304,759,he/him/his,-1,0,-0.312
305,763,he/him/his,1,1,0.0040000000000000036
306,2685,she/her,1,0,0.56
307,793,she/her,2,2,0.41800000000000004
308,6665,he/him/his,1,1,0.5720000000000001
309,873,they/them/their,4,4,1.286
310,942,he/him/his,1,2,1.224
311,3554,she/her,0,0,0.372
312,1030,he/him/his,1,1,-1.0
313,3710,she/her,-1,0,0.7380000000000001
314,3724,they/them/their,-2,0,-0.03800000000000009
315,7557,he/him/his,0,0,0.122
316,1064,he/him/his,0,0,-0.08
317,1112,she/her,-1,0,0.6299999999999999
318,1158,he/him/his,2,2,0.794
319,4657,he/him/his,-2,-1,-0.076
320,4756,they/them/their,0,0,0.698
321,1273,he/him/his,-1,1,0.8380000000000001
322,8501,she/her,1,1,0.04799999999999999
323,1331,she/her,1,2,1.424
324,1363,he/him/his,-1,0,0.964
325,5372,she/her,2,2,0.632
326,1684,he/him/his,1,1,1.018
327,1972,he/him/his,0,1,0.3620000000000002
328,616,he/him/his,0,0,0.35
329,2213,they/them/their,4,4,0.626
330,2515,he/him/his,-3,0,0.378
331,6252,he/him/his,0,0,0.5059999999999999
332,2580,they/them/their,0,1,0.554
333,6319,he/him/his,1,1,0.36
334,6440,she/her,0,0,-0.43999999999999995
335,6887,they/them/their,1,0,0.0
336,6898,she/her,0,0,0.754
337,3273,they/them/their,0,1,0.6700000000000002
338,7104,she/her,2,2,0.0
339,1023,he/him/his,2,1,-0.28
340,3865,he/him/his,1,1,-0.126
341,1187,she/her,1,0,0.08400000000000002
342,4764,he/him/his,0,0,-0.128
343,8664,he/him/his,1,1,-0.728
344,8718,they/them/their,0,-1,0.0
345,1352,he/him/his,0,0,-0.040000000000000036
346,1355,she/her,1,0,0.12800000000000006
347,5789,he/him/his,-2,-1,0.29000000000000004
348,1664,he/him/his,-1,-3,0.902
349,1685,he/him/his,1,1,-0.798
350,1756,they/them/their,0,0,0.182
351,5934,she/her,0,1,1.024
352,2184,she/her,0,0,-1.322
353,2206,she/her,1,1,0.18399999999999997
354,2286,he/him/his,3,3,0.358
355,679,he/him/his,0,0,0.30000000000000004
356,695,he/him/his,1,1,1.028
357,2480,he/him/his,0,0,0.27
358,6576,he/him/his,0,0,0.10399999999999998
359,6653,he/him/his,3,3,1.232
360,6708,she/her,0,0,0.6219999999999999
361,2933,she/her,1,1,-0.416
362,907,he/him/his,-1,0,0.1259999999999999
363,6929,she/her,1,2,1.266
364,918,they/them/their,0,0,0.0
365,983,he/him/his,-1,0,-0.45599999999999996
366,3564,he/him/his,1,1,0.3820000000000001
367,991,he/him/his,1,1,0.35600000000000004
368,7448,she/her,2,2,-0.29200000000000004
369,1126,she/her,2,1,-0.9820000000000001
370,4198,she/her,-1,0,-0.364
371,4661,he/him/his,1,1,0.166
372,9165,he/him/his,1,2,-0.048
373,1519,they/them/their,-1,1,0.0
374,505,he/him/his,0,0,-0.09
375,5843,she/her,-1,2,0.0
376,5884,they/them/their,2,1,0.0
377,522,he/him/his,0,0,0.314
378,562,she/her,0,0,-0.09999999999999999
379,1954,they/them/their,0,0,0.9
380,633,he/him/his,0,0,0.066
381,637,he/him/his,0,0,0.0
382,2264,they/them/their,2,0,1.278
383,2389,they/them/their,-2,0,1.544
384,690,they/them/their,1,0,-0.25599999999999995
385,6253,they/them/their,2,2,-0.56
386,6431,he/him/his,0,0,-0.18
387,6480,he/him/his,0,0,1.79
388,6743,he/him/his,0,0,-0.304
389,2858,she/her,-1,0,0.07200000000000001
390,3447,they/them/their,0,1,-0.696
391,994,he/him/his,0,0,0.124
392,7623,he/him/his,1,2,-0.896
393,1079,she/her,0,1,0.056
394,3944,he/him/his,1,3,0.554
395,4064,she/her,1,0,0.614
396,1163,he/him/his,0,0,1.414
397,4716,they/them/their,1,2,0.25
398,1204,he/him/his,0,0,0.06999999999999998
399,8555,they/them/their,0,-2,0.142
400,5068,they/them/their,0,0,0.29000000000000004
401,8901,they/them/their,0,1,0.21200000000000002
402,1398,she/her,0,0,-0.19800000000000004
403,1401,he/him/his,0,0,1.2
404,5694,he/him/his,0,0,0.436
405,500,he/him/his,0,0,-0.029999999999999992
406,6046,he/him/his,-1,0,-0.536
407,2037,they/them/their,0,0,0.836
408,614,she/her,0,0,0.35600000000000004
409,2341,he/him/his,0,0,1.294
410,704,he/him/his,0,0,-0.8099999999999999
411,6285,she/her,0,1,0.016
412,758,he/him/his,1,0,0.608
413,847,he/him/his,-1,-2,0.544
414,2890,he/him/his,0,0,-0.328
415,3034,they/them/their,1,2,0.888
416,3142,she/her,0,0,0.216
417,7008,he/him/his,-1,0,0.698
418,933,he/him/his,-1,2,1.532
419,7094,she/her,1,1,1.774
420,975,they/them/their,0,0,0.0
421,3428,he/him/his,1,0,0.166
422,3440,they/them/their,1,2,-0.08800000000000002
423,3578,she/her,0,0,2.128
424,3879,they/them/their,0,-1,-0.14599999999999996
425,1116,she/her,-1,1,0.06599999999999998
426,1155,he/him/his,3,2,-0.0040000000000000036
427,4471,she/her,-3,0,0.0
428,4517,he/him/his,0,0,0.166
429,1626,they/them/their,0,1,0.0
430,4556,he/him/his,3,1,0.2780000000000001
431,8114,they/them/their,0,0,-0.92
432,8120,they/them/their,-1,0,-0.11199999999999999
433,1277,he/him/his,1,1,0.11800000000000002
434,1360,he/him/his,1,2,0.158
435,5571,they/them/their,1,3,0.17
436,1422,he/him/his,1,1,0.5599999999999999
437,1540,they/them/their,0,0,0.0
438,1571,he/him/his,-1,-1,-0.054
439,1727,she/her,1,0,1.11
440,1777,he/him/his,1,1,0.016
441,554,he/him/his,1,2,0.7040000000000001
442,1830,he/him/his,0,0,-0.14600000000000002
443,1855,they/them/their,0,1,0.0
444,595,they/them/their,0,3,0.492
445,2012,they/them/their,0,0,-0.172
446,2049,he/him/his,0,0,-0.136
447,613,she/her,1,1,1.372
448,626,she/her,1,2,-0.19199999999999998
449,693,she/her,1,1,0.0
450,6244,he/him/his,0,0,0.516
451,6289,he/him/his,0,-1,0.23400000000000007
452,6464,they/them/their,1,2,-0.128
453,775,he/him/his,0,1,0.0
454,6511,she/her,0,0,-0.007999999999999952
455,2727,she/her,2,2,-0.21200000000000002
456,6589,he/him/his,0,-1,0.12400000000000003
457,6602,he/him/his,0,0,-0.004
458,2750,they/them/their,-1,0,-0.314
459,6697,he/him/his,0,0,0.35
460,6727,he/him/his,1,1,0.096
461,6840,they/them/their,0,3,0.060000000000000026
462,3011,they/them/their,0,0,1.654
463,909,they/them/their,0,0,-0.18
464,6962,they/them/their,2,1,-0.31
465,936,she/her,-1,0,0.346
466,3451,they/them/their,-1,2,0.0
467,3466,he/him/his,0,0,0.11999999999999988
468,987,he/him/his,1,1,-0.402
469,3667,she/her,-1,0,-0.094
470,3855,she/her,0,1,0.39999999999999997
471,7608,she/her,1,0,0.142
472,3880,he/him/his,1,1,0.45
473,7717,they/them/their,5,7,-0.034
474,7737,she/her,0,0,0.050000000000000044
475,1137,she/her,1,0,0.536
476,4375,he/him/his,1,1,1.1239999999999999
477,1168,she/her,0,0,0.6219999999999999
478,4544,she/her,-1,0,0.10800000000000003
479,8119,they/them/their,0,0,-0.00799999999999998
480,1259,he/him/his,0,0,0.182
481,1284,he/him/his,1,3,-0.146
482,8478,they/them/their,1,-1,0.386
483,8655,he/him/his,0,0,-0.061999999999999944
484,1338,she/her,0,0,0.32799999999999996
485,5437,he/him/his,0,0,0.504
486,5452,he/him/his,-1,0,0.386
487,1463,she/her,5,5,0.0
488,5784,they/them/their,1,0,0.0
489,5799,they/them/their,0,0,0.866
490,1652,he/him/his,0,0,-0.42000000000000004
491,5871,she/her,0,0,0.17400000000000002
492,1689,she/her,0,0,0.89
493,566,he/him/his,1,1,-0.33999999999999997
494,1850,they/them/their,0,1,-0.33399999999999996
495,1876,they/them/their,0,4,0.376
496,1951,she/her,-1,0,0.0
497,6062,he/him/his,0,0,-0.9500000000000001
498,608,he/him/his,0,0,0.296
499,627,she/her,1,2,0.0
500,2166,he/him/his,0,0,-0.37
501,632,she/her,0,0,0.648
502,2200,he/him/his,1,1,1.282
503,2223,they/them/their,0,1,0.0
504,2253,they/them/their,1,-1,0.0
505,2485,they/them/their,0,0,-0.314
506,709,he/him/his,0,0,0.9179999999999999
507,726,he/him/his,0,0,-0.864
508,6435,they/them/their,0,-1,-0.6
509,780,she/her,2,1,-0.328
510,838,he/him/his,0,0,0.33199999999999996
511,2771,he/him/his,1,1,-0.148
512,6679,she/her,1,1,-0.328
513,2783,they/them/their,0,0,1.4020000000000001
514,890,she/her,0,0,0.0
515,2957,they/them/their,-1,-2,-0.428
516,897,she/her,-2,0,0.0
517,3005,she/her,0,0,0.706
518,3163,they/them/their,0,0,0.6579999999999999
519,7017,he/him/his,0,0,0.0
520,7258,they/them/their,0,0,0.0
521,1052,they/them/their,3,2,0.0
522,1054,he/him/his,-1,0,0.0
523,7600,she/her,0,2,-0.328
524,1066,she/her,0,0,0.182
525,1098,he/him/his,0,0,-0.8140000000000001
526,3976,he/him/his,0,0,1.622
527,7699,she/her,-1,2,0.254
528,4044,she/her,1,-3,0.31
529,7783,he/him/his,1,1,-0.136
530,7894,he/him/his,0,0,1.02
531,1156,he/him/his,0,0,-0.094
532,4518,they/them/their,0,0,0.0
533,4673,they/them/their,0,1,0.384
534,1188,they/them/their,1,1,-0.16
535,4758,they/them/their,-1,-1,0.404
536,271,he/him/his,0,0,0.85
537,4928,they/them/their,0,0,0.572
538,1278,he/him/his,0,0,-0.21
539,1280,they/them/their,0,0,0.0
540,349,she/her,0,0,-0.552
541,8533,he/him/his,0,0,0.942
542,5244,they/them/their,2,2,0.0
543,1541,he/him/his,1,1,0.45799999999999996
544,5815,they/them/their,0,0,0.0
545,1591,they/them/their,0,0,0.0
546,516,he/him/his,1,1,0.166
547,5878,she/her,0,0,0.0
548,5893,he/him/his,0,0,-0.33
549,521,he/him/his,0,0,-0.09
550,524,she/her,0,0,-0.428
551,1747,she/her,0,0,0.296
552,552,he/him/his,0,0,1.098
553,556,he/him/his,0,0,0.056
554,559,she/her,0,0,0.0
555,570,he/him/his,2,2,0.0
556,2011,she/her,0,0,-0.5479999999999999
557,609,she/her,0,0,0.434
558,2084,she/her,0,-1,0.284
559,2217,they/them/their,0,0,0.0
560,2270,he/him/his,2,2,0.648
561,2369,he/him/his,-1,-1,0.0
562,2421,he/him/his,0,0,0.9099999999999999
563,714,she/her,-1,1,-0.018
564,727,they/them/their,-3,2,0.0
565,6280,they/them/their,0,-1,0.5
566,2575,she/her,0,-1,0.594
567,741,she/her,0,0,-0.37
568,756,he/him/his,0,0,-0.544
569,2640,they/them/their,0,0,0.0
570,2646,he/him/his,0,0,0.124
571,6394,she/her,0,0,-0.746
572,6526,he/him/his,0,0,0.426
573,785,he/him/his,-1,0,0.056
574,2720,she/her,0,0,-0.132
575,833,he/him/his,0,0,-0.07
576,834,he/him/his,1,1,0.294
577,6654,she/her,-1,0,0.0
578,2802,she/her,0,0,0.0
579,851,he/him/his,0,0,0.0
580,862,she/her,0,0,-0.286
581,6779,they/them/their,1,2,0.588
582,6796,she/her,0,0,-0.036
583,6810,he/him/his,0,0,0.188
584,2952,she/her,0,-1,0.094
585,6860,she/her,0,1,-0.31
586,893,they/them/their,0,0,0.0
587,3156,they/them/their,0,0,0.0
588,934,she/her,0,0,-0.296
589,7089,they/them/their,0,0,0.0
590,3432,they/them/their,0,2,0.0
591,3454,they/them/their,0,0,0.218
592,981,she/her,1,1,0.0
593,3581,she/her,0,0,-0.166
594,7364,they/them/their,-1,0,-0.096
595,1028,she/her,3,3,0.0
596,1031,he/him/his,1,1,0.166
597,7443,he/him/his,0,1,-0.28400000000000003
598,1046,she/her,0,0,0.0
599,7518,she/her,0,0,0.212
600,7528,they/them/their,0,0,0.066
601,3873,they/them/their,0,0,0.6
602,1075,they/them/their,0,0,0.0
603,7635,he/him/his,1,1,0.772
604,1095,she/her,1,3,-0.13
605,1101,they/them/their,0,0,0.016
606,4054,she/her,0,1,-0.314
607,4079,they/them/their,1,2,-0.37
608,7851,they/them/their,0,0,-0.172
609,7861,she/her,1,1,0.0
610,4175,he/him/his,1,1,0.8160000000000001
611,4222,she/her,1,0,0.648
612,4249,she/her,1,1,0.806
613,4333,she/her,0,3,0.648
614,7972,he/him/his,0,0,-0.148
615,4803,he/him/his,0,0,-0.77
616,1210,he/him/his,0,0,-0.016
617,1220,he/him/his,0,1,0.498
618,1239,he/him/his,0,0,0.116
619,1264,he/him/his,-1,-1,0.0
620,1279,he/him/his,0,0,0.0
